task_id,operator_id,machine_id,task_type,location,priority,weather,nominal_duration_min,scheduled_time,actual_start,actual_end,actual_duration
TSK-101,OP1001,CAT-336-EX01,Foundation Trenching,Zone B - West Sector,High,Muddy/Wet,70.0,2026-09-14T07:04:00Z,2026-09-14T07:04:00Z,2026-09-14T08:28:00Z,84.7
TSK-102,OP1001,CAT-336-EX01,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,Sunny,120.0,2026-09-14T10:01:00Z,2026-09-14T10:01:00Z,2026-09-14T11:50:00Z,109.0
TSK-103,OP1002,CAT-950-LD02,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,Rain,120.0,2026-09-14T07:00:00Z,2026-09-14T07:00:00Z,2026-09-14T09:11:00Z,131.4
TSK-104,OP1002,CAT-950-LD02,Slope Grading & Compaction,South Retention Pond,Critical,High Wind,85.0,2026-09-14T10:08:00Z,2026-09-14T10:08:00Z,2026-09-14T11:33:00Z,85.5
TSK-105,OP1003,CAT-336-EX01,Haul Truck Loading,Pit 2 Haul Ramp,Medium,High Wind,45.0,2026-09-14T07:04:00Z,2026-09-14T07:04:00Z,2026-09-14T08:07:00Z,63.7
TSK-106,OP1003,CAT-336-EX01,Slope Grading & Compaction,South Retention Pond,Critical,Muddy/Wet,85.0,2026-09-14T10:12:00Z,2026-09-14T10:12:00Z,2026-09-14T12:32:00Z,140.8
TSK-107,OP1004,CAT-349-EX03,Stormwater Drainage Pipe Laying,North Perimeter Road,High,Muddy/Wet,95.0,2026-09-14T07:01:00Z,2026-09-14T07:01:00Z,2026-09-14T09:00:00Z,119.2
TSK-108,OP1004,CAT-349-EX03,Culvert Trench Backfilling,Section 4 Access Road,Medium,Sunny,60.0,2026-09-14T10:12:00Z,2026-09-14T10:12:00Z,2026-09-14T11:08:00Z,56.6
TSK-109,OP1005,CAT-777-HT05,Stockpile Material Rehandling,Crusher Feed Point A,Low,Muddy/Wet,50.0,2026-09-14T07:02:00Z,2026-09-14T07:02:00Z,2026-09-14T08:12:00Z,70.9
TSK-110,OP1005,CAT-777-HT05,Foundation Trenching,Zone B - West Sector,High,Rain,70.0,2026-09-14T10:02:00Z,2026-09-14T10:02:00Z,2026-09-14T11:33:00Z,91.7
TSK-111,OP1001,CAT-336-EX01,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,High Wind,120.0,2026-09-15T07:11:00Z,2026-09-15T07:11:00Z,2026-09-15T09:12:00Z,121.4
TSK-112,OP1001,CAT-336-EX01,Haul Truck Loading,Pit 2 Haul Ramp,Medium,Muddy/Wet,45.0,2026-09-15T10:08:00Z,2026-09-15T10:08:00Z,2026-09-15T11:03:00Z,55.1
TSK-113,OP1002,CAT-950-LD02,Haul Truck Loading,Pit 2 Haul Ramp,Medium,Rain,45.0,2026-09-15T07:12:00Z,2026-09-15T07:12:00Z,2026-09-15T08:00:00Z,48.9
TSK-114,OP1002,CAT-950-LD02,Stockpile Material Rehandling,Crusher Feed Point A,Low,Rain,50.0,2026-09-15T10:01:00Z,2026-09-15T10:01:00Z,2026-09-15T10:58:00Z,57.3
TSK-115,OP1003,CAT-336-EX01,Foundation Trenching,Zone B - West Sector,High,Muddy/Wet,70.0,2026-09-15T07:02:00Z,2026-09-15T07:02:00Z,2026-09-15T09:01:00Z,119.6
TSK-116,OP1003,CAT-336-EX01,Slope Grading & Compaction,South Retention Pond,Critical,Muddy/Wet,85.0,2026-09-15T10:15:00Z,2026-09-15T10:15:00Z,2026-09-15T12:37:00Z,142.4
TSK-117,OP1004,CAT-349-EX03,Culvert Trench Backfilling,Section 4 Access Road,Medium,Rain,60.0,2026-09-15T07:07:00Z,2026-09-15T07:07:00Z,2026-09-15T08:12:00Z,65.9
TSK-118,OP1004,CAT-349-EX03,Stockpile Material Rehandling,Crusher Feed Point A,Low,High Wind,50.0,2026-09-15T10:12:00Z,2026-09-15T10:12:00Z,2026-09-15T11:05:00Z,53.8
TSK-119,OP1004,CAT-349-EX03,Stormwater Drainage Pipe Laying,North Perimeter Road,High,Rain,95.0,2026-09-15T13:04:00Z,2026-09-15T13:04:00Z,2026-09-15T14:56:00Z,112.2
TSK-120,OP1005,CAT-777-HT05,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,Sunny,120.0,2026-09-15T07:04:00Z,2026-09-15T07:04:00Z,2026-09-15T09:10:00Z,126.8
TSK-121,OP1005,CAT-777-HT05,Haul Truck Loading,Pit 2 Haul Ramp,Medium,High Wind,45.0,2026-09-15T10:12:00Z,2026-09-15T10:12:00Z,2026-09-15T11:05:00Z,53.3
TSK-122,OP1005,CAT-777-HT05,Overburden Stripping,East Expansion Ridge,High,High Wind,110.0,2026-09-15T13:00:00Z,2026-09-15T13:00:00Z,2026-09-15T15:09:00Z,129.4
TSK-123,OP1001,CAT-336-EX01,Stockpile Material Rehandling,Crusher Feed Point A,Low,Muddy/Wet,50.0,2026-09-16T07:13:00Z,2026-09-16T07:13:00Z,2026-09-16T08:12:00Z,59.7
TSK-124,OP1001,CAT-336-EX01,Haul Truck Loading,Pit 2 Haul Ramp,Medium,High Wind,45.0,2026-09-16T10:08:00Z,2026-09-16T10:08:00Z,2026-09-16T10:52:00Z,44.3
TSK-125,OP1002,CAT-950-LD02,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,Muddy/Wet,120.0,2026-09-16T07:06:00Z,2026-09-16T07:06:00Z,2026-09-16T09:40:00Z,154.1
TSK-126,OP1002,CAT-950-LD02,Haul Truck Loading,Pit 2 Haul Ramp,Medium,Muddy/Wet,45.0,2026-09-16T10:00:00Z,2026-09-16T10:00:00Z,2026-09-16T10:57:00Z,57.4
TSK-127,OP1003,CAT-336-EX01,Culvert Trench Backfilling,Section 4 Access Road,Medium,Sunny,60.0,2026-09-16T07:11:00Z,2026-09-16T07:11:00Z,2026-09-16T08:23:00Z,72.1
TSK-128,OP1003,CAT-336-EX01,Stockpile Material Rehandling,Crusher Feed Point A,Low,Rain,50.0,2026-09-16T10:02:00Z,2026-09-16T10:02:00Z,2026-09-16T11:16:00Z,74.7
TSK-129,OP1003,CAT-336-EX01,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,High Wind,120.0,2026-09-16T13:04:00Z,2026-09-16T13:04:00Z,2026-09-16T16:02:00Z,178.0
TSK-130,OP1004,CAT-349-EX03,Culvert Trench Backfilling,Section 4 Access Road,Medium,Rain,60.0,2026-09-16T07:13:00Z,2026-09-16T07:13:00Z,2026-09-16T08:18:00Z,65.9
TSK-131,OP1004,CAT-349-EX03,Slope Grading & Compaction,South Retention Pond,Critical,Rain,85.0,2026-09-16T10:12:00Z,2026-09-16T10:12:00Z,2026-09-16T11:49:00Z,97.7
TSK-132,OP1005,CAT-777-HT05,Culvert Trench Backfilling,Section 4 Access Road,Medium,High Wind,60.0,2026-09-16T07:07:00Z,2026-09-16T07:07:00Z,2026-09-16T08:14:00Z,67.7
TSK-133,OP1005,CAT-777-HT05,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,Muddy/Wet,120.0,2026-09-16T10:07:00Z,2026-09-16T10:07:00Z,2026-09-16T12:47:00Z,160.8
TSK-134,OP1005,CAT-777-HT05,Slope Grading & Compaction,South Retention Pond,Critical,Sunny,85.0,2026-09-16T13:01:00Z,2026-09-16T13:01:00Z,2026-09-16T14:24:00Z,83.0
TSK-135,OP1001,CAT-336-EX01,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,Sunny,120.0,2026-09-17T07:02:00Z,2026-09-17T07:02:00Z,2026-09-17T08:53:00Z,111.9
TSK-136,OP1001,CAT-336-EX01,Slope Grading & Compaction,South Retention Pond,Critical,Muddy/Wet,85.0,2026-09-17T10:06:00Z,2026-09-17T10:06:00Z,2026-09-17T11:53:00Z,107.4
TSK-137,OP1002,CAT-950-LD02,Culvert Trench Backfilling,Section 4 Access Road,Medium,Rain,60.0,2026-09-17T07:13:00Z,2026-09-17T07:13:00Z,2026-09-17T08:22:00Z,69.4
TSK-138,OP1002,CAT-950-LD02,Slope Grading & Compaction,South Retention Pond,Critical,Sunny,85.0,2026-09-17T10:13:00Z,2026-09-17T10:13:00Z,2026-09-17T11:26:00Z,73.4
TSK-139,OP1003,CAT-336-EX01,Overburden Stripping,East Expansion Ridge,High,High Wind,110.0,2026-09-17T07:01:00Z,2026-09-17T07:01:00Z,2026-09-17T09:38:00Z,157.6
TSK-140,OP1003,CAT-336-EX01,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,Sunny,120.0,2026-09-17T10:10:00Z,2026-09-17T10:10:00Z,2026-09-17T12:38:00Z,148.5
TSK-141,OP1003,CAT-336-EX01,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,Rain,120.0,2026-09-17T13:14:00Z,2026-09-17T13:14:00Z,2026-09-17T16:15:00Z,181.7
TSK-142,OP1004,CAT-349-EX03,Overburden Stripping,East Expansion Ridge,High,Rain,110.0,2026-09-17T07:07:00Z,2026-09-17T07:07:00Z,2026-09-17T09:08:00Z,121.0
TSK-143,OP1004,CAT-349-EX03,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,High Wind,120.0,2026-09-17T10:03:00Z,2026-09-17T10:03:00Z,2026-09-17T12:11:00Z,128.0
TSK-144,OP1005,CAT-777-HT05,Foundation Trenching,Zone B - West Sector,High,Sunny,70.0,2026-09-17T07:07:00Z,2026-09-17T07:07:00Z,2026-09-17T08:21:00Z,74.4
TSK-145,OP1005,CAT-777-HT05,Haul Truck Loading,Pit 2 Haul Ramp,Medium,High Wind,45.0,2026-09-17T10:06:00Z,2026-09-17T10:06:00Z,2026-09-17T10:58:00Z,52.7
TSK-146,OP1001,CAT-336-EX01,Foundation Trenching,Zone B - West Sector,High,Rain,70.0,2026-09-18T07:12:00Z,2026-09-18T07:12:00Z,2026-09-18T08:29:00Z,77.8
TSK-147,OP1001,CAT-336-EX01,Stockpile Material Rehandling,Crusher Feed Point A,Low,High Wind,50.0,2026-09-18T10:15:00Z,2026-09-18T10:15:00Z,2026-09-18T11:05:00Z,50.6
TSK-148,OP1001,CAT-336-EX01,Haul Truck Loading,Pit 2 Haul Ramp,Medium,Rain,45.0,2026-09-18T13:01:00Z,2026-09-18T13:01:00Z,2026-09-18T13:50:00Z,49.6
TSK-149,OP1002,CAT-950-LD02,Stormwater Drainage Pipe Laying,North Perimeter Road,High,Sunny,95.0,2026-09-18T07:15:00Z,2026-09-18T07:15:00Z,2026-09-18T08:36:00Z,81.7
TSK-150,OP1002,CAT-950-LD02,Haul Truck Loading,Pit 2 Haul Ramp,Medium,Sunny,45.0,2026-09-18T10:02:00Z,2026-09-18T10:02:00Z,2026-09-18T10:44:00Z,42.4
TSK-151,OP1003,CAT-336-EX01,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,Sunny,120.0,2026-09-18T07:07:00Z,2026-09-18T07:07:00Z,2026-09-18T09:39:00Z,152.6
TSK-152,OP1003,CAT-336-EX01,Overburden Stripping,East Expansion Ridge,High,Sunny,110.0,2026-09-18T10:07:00Z,2026-09-18T10:07:00Z,2026-09-18T12:30:00Z,143.6
TSK-153,OP1004,CAT-349-EX03,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,High Wind,120.0,2026-09-18T07:10:00Z,2026-09-18T07:10:00Z,2026-09-18T09:16:00Z,126.2
TSK-154,OP1004,CAT-349-EX03,Stockpile Material Rehandling,Crusher Feed Point A,Low,Rain,50.0,2026-09-18T10:10:00Z,2026-09-18T10:10:00Z,2026-09-18T11:07:00Z,57.2
TSK-155,OP1005,CAT-777-HT05,Stockpile Material Rehandling,Crusher Feed Point A,Low,High Wind,50.0,2026-09-18T07:09:00Z,2026-09-18T07:09:00Z,2026-09-18T08:05:00Z,56.5
TSK-156,OP1005,CAT-777-HT05,Culvert Trench Backfilling,Section 4 Access Road,Medium,Muddy/Wet,60.0,2026-09-18T10:02:00Z,2026-09-18T10:02:00Z,2026-09-18T11:30:00Z,88.1
TSK-157,OP1001,CAT-336-EX01,Culvert Trench Backfilling,Section 4 Access Road,Medium,Sunny,60.0,2026-09-19T07:06:00Z,2026-09-19T07:06:00Z,2026-09-19T07:57:00Z,51.7
TSK-158,OP1001,CAT-336-EX01,Stockpile Material Rehandling,Crusher Feed Point A,Low,Rain,50.0,2026-09-19T10:02:00Z,2026-09-19T10:02:00Z,2026-09-19T11:00:00Z,58.7
TSK-159,OP1002,CAT-950-LD02,Stormwater Drainage Pipe Laying,North Perimeter Road,High,Muddy/Wet,95.0,2026-09-19T07:09:00Z,2026-09-19T07:09:00Z,2026-09-19T09:03:00Z,114.0
TSK-160,OP1002,CAT-950-LD02,Foundation Trenching,Zone B - West Sector,High,Muddy/Wet,70.0,2026-09-19T10:03:00Z,2026-09-19T10:03:00Z,2026-09-19T11:33:00Z,90.7
TSK-161,OP1003,CAT-336-EX01,Stockpile Material Rehandling,Crusher Feed Point A,Low,Sunny,50.0,2026-09-19T07:04:00Z,2026-09-19T07:04:00Z,2026-09-19T08:08:00Z,64.9
TSK-162,OP1003,CAT-336-EX01,Stockpile Material Rehandling,Crusher Feed Point A,Low,Muddy/Wet,50.0,2026-09-19T10:10:00Z,2026-09-19T10:10:00Z,2026-09-19T11:37:00Z,87.2
TSK-163,OP1004,CAT-349-EX03,Stockpile Material Rehandling,Crusher Feed Point A,Low,High Wind,50.0,2026-09-19T07:01:00Z,2026-09-19T07:01:00Z,2026-09-19T07:51:00Z,50.5
TSK-164,OP1004,CAT-349-EX03,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,High Wind,120.0,2026-09-19T10:01:00Z,2026-09-19T10:01:00Z,2026-09-19T12:09:00Z,128.3
TSK-165,OP1005,CAT-777-HT05,Stormwater Drainage Pipe Laying,North Perimeter Road,High,Rain,95.0,2026-09-19T07:08:00Z,2026-09-19T07:08:00Z,2026-09-19T09:10:00Z,122.8
TSK-166,OP1005,CAT-777-HT05,Haul Truck Loading,Pit 2 Haul Ramp,Medium,High Wind,45.0,2026-09-19T10:13:00Z,2026-09-19T10:13:00Z,2026-09-19T11:06:00Z,53.1
TSK-167,OP1001,CAT-336-EX01,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,Sunny,120.0,2026-09-20T07:04:00Z,2026-09-20T07:04:00Z,2026-09-20T08:56:00Z,112.8
